dedup_id,title,status,decision,decision_basis,candidate_topics,reason,module_decisions,module_exclusion_codes,screening_mode,title_only_decision,title_only_exclusion_code
D0000033,Post-traumatic stress disorder.,complete,REVIEW,title_only_unclear,,Title alone; insufficient information to determine eligibility.,{},{},title_only,REVIEW,NA
D0000121,Recent life events and psychiatric disorder in children: the interaction with preceding extreme adversity.,complete,REVIEW,topic_unclear,,Children's psychiatric problems after an unspecified natural disaster; disaster type not identified.,{},{},title_abstract,,
D0000152,Relationship between psychiatric impairment and a natural disaster: The role of distress,complete,REVIEW,eligibility_unclear,wildfire,wildfire: REVIEW - Bushfire exposure in firefighters; mental health outcomes measured; design not specified clearly.,"{""wildfire"":""REVIEW""}","{""wildfire"":""NA""}",title_abstract,,
D0000160,The phenomenology of posttraumatic stress disorders following a natural disaster.,complete,REVIEW,topic_unclear,,PTSD after a natural disaster; disaster type is not identified.,{},{},title_abstract,,
D0000196,Life events and psychiatric disorder: the role of a natural disaster.,complete,REVIEW,eligibility_unclear,wildfire,"wildfire: REVIEW - Bushfire-exposed firefighters, cross-sectional GHQ outcome; design eligibility for exposure contrast unclear.","{""wildfire"":""REVIEW""}","{""wildfire"":""NA""}",title_abstract,,
D0000207,Family functioning and overprotection following a natural disaster: The longitudinal effects of post-traumatic morbidity,complete,REVIEW,topic_unclear,,Natural disaster exposure with family outcomes; disaster type not identified.,{},{},title_abstract,,
D0000208,Life events and relapse in bipolar disorder: The impact of a catastrophic event,complete,REVIEW,eligibility_unclear,cyclone,"cyclone: REVIEW - Hurricane exposure and bipolar relapse; design ambiguous retrospective case-control, unclear exposure contrast","{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0000230,Distraction during flooding (exposure): concordance between results in animals and man.,complete,REVIEW,title_only_unclear,,Title suggests possible animal-human comparison; unclear relevance to eligible mental-health outcome.,{},{},title_only,REVIEW,NA
D0000232,Exploring the impact of a natural disaster on the health and psychological well-being of older adults,complete,REVIEW,eligibility_unclear,cyclone,"cyclone: REVIEW - Hurricane Alicia and psychological wellbeing are present, but synthetic cohort design details are ambiguous.","{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0000254,Psychological and physical morbidity in the aftermath of a cyclone,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Cyclone vs control community; repeated post-event waves without pre-event baseline; design uncertain.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0000301,Posttraumatic morbidity of a disaster. A study of cases presenting for psychiatric treatment.,complete,REVIEW,topic_unclear,,Psychiatric morbidity after an unspecified natural disaster; disaster type is not identified.,{},{},title_abstract,,
D0000731,Feeling of improvement in flooding: some analogue data.,complete,REVIEW,title_only_unclear,,Title suggests flooding and psychological feeling but lacks detail; unclear eligibility.,{},{},title_only,REVIEW,NA
D0000744,Some age-related effects of the 1974 Brisbane floods,complete,REVIEW,eligibility_unclear,flood,flood: REVIEW - Flood-area vs non-flooded comparison of psychiatric symptoms; design not explicitly stated.,"{""flood"":""REVIEW""}","{""flood"":""NA""}",title_abstract,,
