conflict_group,reason,dedup_id,source,source_id,doi,title,year,first_author
security training,title_short_or_generic,D0102193,PubMed,10293594,,Security training.,1989,Reilly WF
security training,title_short_or_generic,D0102194,Embase,L19441915,,Security training.,1989,Reilly
can the world do better in the 1990s,first_author_conflict,D0102195,PubMed,12316166,,Can the world do better in the 1990s?,1989,Brown LR
can the world do better in the 1990s,first_author_conflict,D0102196,Scopus,2-s2.0-0024868991,,Can the world do better in the 1990s?,1989,Brown L.R.
can the world do better in the 1990s,first_author_conflict,D0102197,Embase,L21774026,,Can the world do better in the 1990s?,1989,Brown
influence of attitude and expectation on moods and symptoms during cold weather military training,first_author_conflict,D0102198,PubMed,2604670,,Influence of attitude and expectation on moods and symptoms during cold weather military training.,1989,Johnson RF
influence of attitude and expectation on moods and symptoms during cold weather military training,first_author_conflict,D0102199,Scopus,2-s2.0-0024832355,,Influence of attitude and expectation on moods and symptoms during cold weather military training,1989,Johnson R.
influence of attitude and expectation on moods and symptoms during cold weather military training,first_author_conflict,D0102200,PsycINFO,617732682,,Influence of attitude and expectation on moods and symptoms during cold weather military training,1989,Johnson
a psychopathologic conflict in the 18th century in the east indies squadron,first_author_conflict,D0102202,PubMed,2699179,,[A psychopathologic conflict in the 18th century in the East Indies Squadron].,1989,Alliez J
a psychopathologic conflict in the 18th century in the east indies squadron,first_author_conflict,D0102203,Embase,L20754097,,A psychopathologic conflict in the 18th century in the East Indies Squadron,1989,Alliez
treatment of hemophilia in children,first_author_conflict,D0102204,PubMed,2517639,,[Treatment of hemophilia in children].,1989,Stucchi C
treatment of hemophilia in children,first_author_conflict,D0102205,Scopus,2-s2.0-0024760956,,Treatment of hemophilia in children,1989,Stucchi C.
treatment of hemophilia in children,first_author_conflict,D0102206,Embase,L20837403,,Treatment of hemophilia in children,1989,Stucchi
haemolytic anaemia due to cold agglutinins caused by psittacosis,first_author_conflict,D0102211,PubMed,2770941,,Haemolytic anaemia due to cold agglutinins caused by psittacosis.,1989,Timmerman R
haemolytic anaemia due to cold agglutinins caused by psittacosis,first_author_conflict,D0102212,Scopus,2-s2.0-0024312667,,Haemolytic anaemia due to cold agglutinins caused by psittacosis,1989,Timmerman R.
injury mortality in new mexico s american indians hispanics and non hispanic whites 1958 to 1982,first_author_conflict,D0102213,PubMed,2750163,,"Injury mortality in New Mexico's American Indians, Hispanics, and non-Hispanic whites, 1958 to 1982.",1989,Sewell CM
injury mortality in new mexico s american indians hispanics and non hispanic whites 1958 to 1982,first_author_conflict,D0102214,Scopus,2-s2.0-0024413274,,"Injury mortality in New Mexico's American Indians, Hispanics, and non-Hispanic whites, 1958 to 1982",1989,Sewell C.
injury mortality in new mexico s american indians hispanics and non hispanic whites 1958 to 1982,first_author_conflict,D0102215,Embase,L19160980,,"Injury mortality in New Mexico's American Indians, Hispanics, and non-Hispanic whites, 1958 to 1982",1989,Sewell
comparison of occupational and home accidents as a cause of severe burns the experience of a large burn center in an ind,first_author_conflict,D0102219,PubMed,2519743,,[Comparison of occupational and home accidents as a cause of severe burns. The experience of a large burn center in an industrial city].,1989,Romano C
