dedup_id,title,candidate_topics,mental_health_signal,final_decision,one_line_reason,per_topic,model_name,criteria_version,screened_at
D0057968,The Impact of Primary Disease on Patient Satisfaction in Outpatient Care: A Nationwide Analysis,,yes,EXCLUDE (no eligible topic),"Record about patient satisfaction and depression, no climate hazard.",{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:33:15
D0060864,Effects of graded focal cold block in the solitary and para‐ambigual regions of the medulla in the cat,,no,EXCLUDE (no eligible topic),No hazard topics or mental health signal; animal study with focal cooling.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:33:20
D0073944,Validation of histocultures from adult human brain as a tool to study age-associated neurodegenerative diseases,,no,EXCLUDE (no eligible topic),No mention of any climate hazard; study focuses on brain tissue cultures.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:33:25
D0059771,"Socio-ecological factors associated with eco-anxiety following the 2023 wildfires among Northern and Indigenous youth in the Northwest Territories, Canada: Cros",wildfire,yes,INCLUDE,wildfire:INCLUDE,"{""wildfire"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Cross-sectional study of eco-anxiety after wildfires in NWT adolescents.""}}",deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:33:32
D0114009,On the temporal variation of concentration and wet deposition of sulfate associated with a single event of frontal depression,,no,EXCLUDE (no eligible topic),Study on sulfate wet deposition in frontal depression; no human exposure or mental health signal.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:33:36
D0044780,The development of anxiety and exploration in two species of the African striped mouseRhabdomys,,no,EXCLUDE (no eligible topic),Animal study on mice; no environmental hazard exposure.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:33:40
D0034875,Trees in the urban environment: Response mechanisms and benefits for the ecosystem should guide plant selection for future plantings,,no,EXCLUDE (no eligible topic),Focus on tree physiology and urban forestry; no human hazard exposure or mental health signal.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:33:44
D0005327,The state of ambient air quality in Pakistan--a review.,,no,EXCLUDE (no eligible topic),"Record is about ambient air quality, not any of the five hazard topics.",{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:33:48
D0065633,Exploring children's conceptions of smoking addiction,,no,EXCLUDE (no eligible topic),No climate hazard topic present; record about smoking addiction.,{},deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:33:52
D0022125,Evaluation of Remotely Sensed Inundation Data Sets to Estimate Flood-Associated Emergency Department Visits After Hurricane Harvey.,flood; cyclone,no,EXCLUDE,flood:EXCLUDE | cyclone:EXCLUDE,"{""flood"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Outcome is intestinal infectious disease, not mental health.""}, ""cyclone"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Outcome is infectious disease ED visits, not mental health.""}}",deepseek-v4-flash,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T07:34:07
