dedup_id,title,candidate_topics,mental_health_signal,final_decision,one_line_reason,per_topic
D0073175,Impact of cigarette smoking on symptoms and quality of life of adults with asthma managed in public primary care clinics in singapore: A questionnaire study,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{}
D0107555,Efficacy and safety of bevacizumab combined with chemotherapy in the treatment of advanced colorectal cancer and the effect on its adverse reactions.,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{}
D0062096,Urea alteration in the alpha-receptor and the acetylcholine receptor of the vas deferens,,no,EXCLUDE (no eligible topic),No relevant hazard or mental health signal present.,{}
D0018442,(Attenuated) hallucinations join basic symptoms in a transdiagnostic network cluster analysis,,yes,EXCLUDE (no eligible topic),No specific climate hazard mentioned; mental health focus present.,{}
D0044574,Alcohol and the risk of injury,,yes,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{}
D0056861,Working together to drive change: weaving caring for Country practices into fire risk management on Djiringanj Country,wildfire,yes,EXCLUDE,wildfire:EXCLUDE,"{""wildfire"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""No measured mental-health outcome reported.""}}"
D0019243,Cardiogenic Shock: Lessons From Hurricanes.,,no,EXCLUDE (no eligible topic),No specific hazard or mental health signal present.,{}
D0063031,Mental stress opposes endothelium-dependent vasodilation in young healthy individuals,,yes,EXCLUDE (no eligible topic),No eligible hazard topics present.,{}
D0003061,Experimental muscle pain provokes long-lasting alterations of thermal sensitivity in the referred pain area,,no,EXCLUDE (no eligible topic),No eligible hazard topics present.,{}
D0098953,Aberrant stress-induced Hsp70 expression in immune cells in multiple sclerosis,,no,EXCLUDE (no eligible topic),No eligible hazard topics present.,{}
D0120058,Neurobiology and psychopharmacology of the soul?,,yes,EXCLUDE (no eligible topic),No specific climate hazard mentioned; focuses on psychopharmacology and mental health.,{}
D0122140,"Evaluation of Fractional Bipolar Radiofrequency, and Bipolar Radiofrequency Potentiated by Infrared, in Monotherapy or Combined, for the Treatment of Striae",,no,EXCLUDE (no eligible topic),No relevant hazard or mental health signals present.,{}
D0018965,Linking Air Pollution Exposure to Blood-Based Metabolic Features in a Community-Based Aging Cohort with and without Dementia.,,no,EXCLUDE (no eligible topic),No eligible hazard topics present.,{}
D0034718,Genetic structure of fragmented southern populations of African Cape buffalo (Syncerus caffer caffer) Hirohisa Kishino,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{}
D0126835,Hot Water Therapy for the Treatment of Menopause-related Hot Flashes and Other Symptoms: a Clinical Trial,,no,EXCLUDE (no eligible topic),No eligible hazard topics or mental health signals present.,{}
D0100605,"A qualitative evaluation of an employee counselling service from the perspective of client, counsellor and organization",,yes,EXCLUDE (no eligible topic),"No specific climate hazard mentioned, but mental health is addressed.",{}
D0028594,Investigating the effects of sweat therapy on group dynamics and affect,,no,EXCLUDE (no eligible topic),No eligible hazard topics or mental health signals present.,{}
D0023432,Heat Therapy as a Viable Treatment for Peripheral Artery Disease: A Mini Review,temperature,no,EXCLUDE,temperature:EXCLUDE,"{""temperature"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Study focuses on physical health outcomes, not mental health.""}}"
D0113211,Wildfires and the changing landscape of air pollution-related health burden,wildfire,no,EXCLUDE,wildfire:EXCLUDE,"{""wildfire"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Only reports respiratory and cardiovascular outcomes, not mental health.""}}"
D0028552,Evolving treatment strategies for myeloma,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{}
D0079646,Embolization in the treatment of a major retropubic hemorrhage following tension-free vaginal tape A case report and literature review,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{}
D0111765,On pump versus off pump coronary artery bypass surgery in patients over seventy years old with triple vessels disease and severe left ventricle dysfunction: Foc,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{}
D0096872,Ketamine to enhance methadone treatment retention in patients with opioid use disorder and co-morbid depression,,yes,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{}
