source_row,dedup_id,title,year,journal,candidate_topics,strict_decision,primary_topic,exposure_measurement,design_class,counterfactual_status,effect_extractability,outcome_status,primary_reason_code,confidence,reason,full_text_checks,overlap_flag,screener_model,criteria_version
1,D0000010,"Psychological symptoms in older adults following natural disaster: Nature, timing, duration, and course",1989,Journals of Gerontology,flood,FULLTEXT_REVIEW,flood,unclear,longitudinal_with_prebaseline,yes,unclear,eligible,unclear_exposure_measurement,medium,"The panel was interviewed before and after two floods and affect changed with personal loss and community destruction, but the abstract does not state how those exposure measures were obtained or report effect uncertainty.","Verify that flood exposure or community destruction came from external records rather than participant report alone. | Extract flood-effect estimates, uncertainty, exposure contrast, and time window.",potential_overlap,gpt-5.6-sol,strict-inc-v1.0
2,D0000042,Flood experience and posttraumatic trait anxiety in Appalachia,1989,Psychological Reports,flood,NARRATIVE_ONLY,flood,objective_or_verifiable,post_event_only,no,not_extractable,eligible,no_pre_event_baseline,high,Trait anxiety was measured once after the 1972 flood in an affected community and a nearby comparison community; no pre-event outcome or temporal counterfactual is described.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
3,D0000074,"The aetiology of post-traumatic morbidity: Predisposing, precipitating and perpetuating factors",1989,The British Journal of Psychiatry,wildfire,NARRATIVE_ONLY,wildfire,self_report_only,post_event_only,no,not_extractable,eligible,no_pre_event_baseline,high,"Firefighters were first studied four months after the bushfire and followed only after exposure; disaster exposure and losses came from participant inventories, with no pre-event mental-health baseline.",,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
4,D0000111,Morbidity of hurricane elena,1988,Southern Medical Journal,cyclone,FULLTEXT_REVIEW,cyclone,objective_or_verifiable,unclear,unclear,unclear,eligible,unclear_design,medium,"Emergency-department logs cover one week before and two weeks after Hurricane Elena and psychiatric visits increased, but the abstract gives neither a modeled temporal counterfactual nor an effect estimate with uncertainty.",Determine whether the analysis supports an interrupted time-series or other credible temporal counterfactual. | Extract the psychiatric-visit effect and uncertainty separately from trauma visits.,none_identified,gpt-5.6-sol,strict-inc-v1.0
5,D0000116,Prior experience as a moderator of disaster impact on anxiety symptoms in older adults.,1988,American journal of community psychology,flood,FULLTEXT_REVIEW,flood,unclear,longitudinal_with_prebaseline,yes,unclear,eligible,unclear_exposure_measurement,medium,"The same adults were assessed before and after flooding and preflood symptoms were controlled, but the source of personal/community flood-impact measures and extractable uncertainty are not reported.",Verify objective or externally linked flood-impact measurement. | Extract effects and uncertainty for trait anxiety and weather-specific distress.,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
6,D0000159,The longitudinal course of posttraumatic morbidity: The range of outcomes and their predictors,1988,Journal of Nervous and Mental Disease,wildfire,NARRATIVE_ONLY,wildfire,self_report_only,post_event_only,no,not_extractable,eligible,no_pre_event_baseline,high,"The study follows an exposed firefighter cohort over 25 post-bushfire months and analyzes morbidity trajectories and predictors, without a pre-event outcome or changing objective hazard exposure.",,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
7,D0000167,The aetiology of post-traumatic stress disorders following a natural disaster,1988,The British Journal of Psychiatry,wildfire,NARRATIVE_ONLY,wildfire,self_report_only,post_event_only,no,not_extractable,eligible,no_pre_event_baseline,high,"The longitudinal label refers to follow-up after bushfire exposure; the abstract gives no pre-event PTSD outcome and evaluates perceived threat, losses, and personal predictors.",,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
8,D0000191,Posttraumatic Phenomena in a Longitudinal Study of Children Following a Natural Disaster,1987,Journal of the American Academy of Child and Adolescent Psychiatry,wildfire,NARRATIVE_ONLY,wildfire,self_report_only,post_event_only,no,not_extractable,eligible,descriptive_or_predictor_only,high,The exposed schoolchildren were followed only after the bushfire; the study describes prevalence over 18 months and predictors rather than an objective hazard effect with a counterfactual.,,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
9,D0000199,A longitudinal study of the psychological morbidity in children due to a natural disaster,1987,Psychological Medicine,wildfire,NARRATIVE_ONLY,wildfire,objective_or_verifiable,post_event_only,no,not_extractable,eligible,no_pre_event_baseline,high,Psychological morbidity was first measured two months after the bushfire and then followed in the exposed group; the comparison is post-event and no pre-event outcome baseline is described.,,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
10,D0000370,The effect of disaster on the health and well-being of older women.,1985,International journal of aging & human development,flood,NARRATIVE_ONLY,flood,self_report_only,cross_sectional,no,not_extractable,eligible,cross_sectional,high,A retrospective survey five years after the flood compares victims with controls and asks perceived flood effects; there is no prospectively measured pre-event mental-health outcome.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
11,D0000510,Mortality and economic instability: Detailed analyses for Britain and comparative analyses for selected industrialized countries,1983,International Journal of Health Services,temperature,EXCLUDE,temperature,unclear,time_series,unclear,unclear,eligible,wrong_exposure,high,The study's primary explanatory focus is economic change and unemployment; unusually cold winter temperature is only one additional environmental factor in a broad mortality model.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
12,D0000601,Cyclone '78 in Sri Lanka--the mental health trail.,1981,The British journal of psychiatry : the journal of mental science,cyclone,NARRATIVE_ONLY,cyclone,objective_or_verifiable,post_event_only,no,not_extractable,eligible,no_pre_event_baseline,high,"The affected population was followed after the 1978 cyclone and morbidity was described through one year, with no pre-cyclone outcome or unaffected temporal counterfactual.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
13,D0000764,Cyclone Tracy and Darwin evacuees: On the restoration of the species,1977,The British Journal of Psychiatry,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,post_event_only,no,not_extractable,eligible,no_pre_event_baseline,high,"Cyclone evacuees were assessed only after the event, and change was judged against a general-population control level rather than a measured pre-event or concurrent counterfactual.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
14,D0000781,"The Brisbane floods, January 1974: their impact on health.",1976,The Medical journal of Australia,flood,NARRATIVE_ONLY,flood,objective_or_verifiable,post_event_only,no,not_extractable,eligible,no_pre_event_baseline,high,"Flooded and non-flooded families were interviewed during the year after the event, but no pre-event psychological outcome was measured and reported changes were retrospective.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
15,D0001122,Psychological distress and somatic symptoms after natural disaster: differential vulnerability among older adults.,1990,Psychology and aging,flood,FULLTEXT_REVIEW,flood,unclear,longitudinal_with_prebaseline,yes,unclear,eligible,unclear_exposure_measurement,medium,"A panel was measured before and after the flood and flood exposure predicted increases in depression and anxiety, but the abstract omits the exposure source and effect estimates with uncertainty.",Verify that flood exposure was objectively measured or externally linked. | Extract adjusted psychological-symptom effects and uncertainty.,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
16,D0001227,The impact of hurricane hugo and the san francisco earthquake on a sample of people with rheumatoid arthritis,1991,Arthritis Rheumatism,cyclone,FULLTEXT_REVIEW,cyclone,objective_or_verifiable,longitudinal_with_prebaseline,yes,unclear,eligible,unclear_effect_extractability,medium,"The ongoing cohort supplies pre-disaster ratings and a broader comparison sample, but Hurricane Hugo and an earthquake are combined and no hurricane-specific depression estimate or uncertainty is reported.","Confirm that a Hurricane Hugo effect can be separated from the earthquake group. | Extract the depression effect, uncertainty, sample size, and time window.",none_identified,gpt-5.6-sol,strict-inc-v1.0
17,D0001391,The effects of a natural disaster on child behavior: Evidence for posttraumatic stress,1993,American Journal of Public Health,flood,EXCLUDE,flood,objective_or_verifiable,longitudinal_with_prebaseline,yes,reported_with_uncertainty,ineligible,wrong_outcome,high,"The measured outcomes reported are aggressive behavior and enuresis; the abstract does not report an eligible measured mental-health outcome such as distress, depression, anxiety, or PTSD.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
18,D0001404,Post-traumatic stress disorder in adolescents after a hurricane,1993,American Journal of Epidemiology,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,cross_sectional,no,reported_with_uncertainty,eligible,cross_sectional,high,"Adolescents completed one survey a year after Hurricane Hugo, and the hurricane-exposure odds ratio is based on self-reported post-event exposure without a pre-event outcome.",,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
19,D0001472,A test of the social support deterioration model in the context of natural disaster.,1993,Journal of personality and social psychology,flood,FULLTEXT_REVIEW,flood,unclear,longitudinal_with_prebaseline,yes,unclear,eligible,unclear_exposure_measurement,medium,"Older adults were interviewed before and twice after a flood and disaster stress affected depression, but the abstract does not define the disaster-exposure measure or provide extractable effects and uncertainty.",Verify objective or externally verifiable flood exposure. | Extract direct and mediated flood effects on depression with uncertainty.,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
20,D0001539,Psychological distress of adolescents exposed to Hurricane Hugo,1994,Journal of Traumatic Stress,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,cross_sectional,no,unclear,eligible,cross_sectional,high,Students were surveyed once one year after Hurricane Hugo; exposure and distress were measured in the same post-event questionnaire with no pre-event outcome or credible temporal counterfactual.,,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
21,D0001554,"Predictors of posttraumatic stress symptoms among survivors of the Oakland/Berkeley, Calif., Firestorm",1994,American Journal of Psychiatry,wildfire,NARRATIVE_ONLY,wildfire,self_report_only,post_event_only,no,unclear,eligible,no_pre_event_baseline,high,Participants were recruited after the fire and followed for posttraumatic symptoms; fire contact and immediate reactions were self-reported and no pre-fire mental-health outcome was available.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
22,D0001664,Posttraumatic Stress Disorder in Adolescents after Hurricane Andrew,1995,Journal of the American Academy of Child and Adolescent Psychiatry,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,cross_sectional,no,reported_with_uncertainty,eligible,cross_sectional,high,The telephone survey was conducted once six months after Hurricane Andrew and focused on prevalence and correlates; it has no pre-event outcome or quasi-experimental counterfactual.,,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
23,D0001665,Psychological Effects of Hurricane Andrew on an Elementary School Population,1995,Journal of the American Academy of Child and Adolescent Psychiatry,cyclone,FULLTEXT_REVIEW,cyclone,objective_or_verifiable,quasi_experimental,unclear,unclear,eligible,unclear_design,medium,"High- and low-impact schools were assessed twice after Hurricane Andrew and pre/post school behavior records were compared, but the abstract does not establish a hazard-effect counterfactual for the mental-health scales or report uncertainty.",Determine whether pre-event outcomes and a controlled before-after contrast exist for an eligible mental-health measure. | Extract the high- versus low-impact hazard effect and uncertainty.,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
