source_row,dedup_id,title,year,journal,candidate_topics,gpt_decision,gpt_reason,deepseek_decision,deepseek_reason,recommended_action
1,D0000010,"Psychological symptoms in older adults following natural disaster: Nature, timing, duration, and course",1989,Journals of Gerontology,flood,FULLTEXT_REVIEW,"The panel was interviewed before and after two floods and affect changed with personal loss and community destruction, but the abstract does not state how those exposure measures were obtained or report effect uncertainty.",FULLTEXT_REVIEW,"Prospective panel interviewed before and after two floods; flood exposure measured at individual/community levels; negative/positive affect are eligible outcomes. Abstract reports associations but no numeric effect size or uncertainty, so full text is needed to confirm extractable adjusted effects.",FULLTEXT_REVIEW
2,D0000042,Flood experience and posttraumatic trait anxiety in Appalachia,1989,Psychological Reports,flood,NARRATIVE_ONLY,Trait anxiety was measured once after the 1972 flood in an affected community and a nearby comparison community; no pre-event outcome or temporal counterfactual is described.,NARRATIVE_ONLY,"Abstract describes a single post-event comparison of flood-affected Buffalo Creek residents versus nearby Kopperston residents on trait anxiety, with no pre-flood outcome or within-unit temporal variation. Affected-versus-unaffected comparison alone is not a credible counterfactual for the causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
3,D0000074,"The aetiology of post-traumatic morbidity: Predisposing, precipitating and perpetuating factors",1989,The British Journal of Psychiatry,wildfire,NARRATIVE_ONLY,"Firefighters were first studied four months after the bushfire and followed only after exposure; disaster exposure and losses came from participant inventories, with no pre-event mental-health baseline.",NARRATIVE_ONLY,Assessed only at 4/11/29 months after bushfire with no pre-exposure outcome or unexposed comparison; degree of exposure/losses appears self-reported. This exposed-only post-event predictor analysis cannot support a causal hazard effect.,DO_NOT_ADVANCE_MAIN_META
4,D0000111,Morbidity of hurricane elena,1988,Southern Medical Journal,cyclone,FULLTEXT_REVIEW,"Emergency-department logs cover one week before and two weeks after Hurricane Elena and psychiatric visits increased, but the abstract gives neither a modeled temporal counterfactual nor an effect estimate with uncertainty.",FULLTEXT_REVIEW,"Abstract reports a significant increase in ED patients treated for psychiatric problems after Hurricane Elena versus a one-week pre-storm period, suggesting objective cyclone exposure, eligible psychiatric service use outcome, and a pre/post longitudinal baseline. However no quantitative effect size or uncertainty is reported, so extractability requires full-text confirmation.",FULLTEXT_REVIEW
5,D0000116,Prior experience as a moderator of disaster impact on anxiety symptoms in older adults.,1988,American journal of community psychology,flood,FULLTEXT_REVIEW,"The same adults were assessed before and after flooding and preflood symptoms were controlled, but the source of personal/community flood-impact measures and extractable uncertainty are not reported.",FULLTEXT_REVIEW,"Panel with pre/post flood design and anxiety outcomes; however abstract does not specify whether flood impact exposure was objective/verifiable or self-report, and lacks quantitative estimates with uncertainty.",FULLTEXT_REVIEW
6,D0000159,The longitudinal course of posttraumatic morbidity: The range of outcomes and their predictors,1988,Journal of Nervous and Mental Disease,wildfire,NARRATIVE_ONLY,"The study follows an exposed firefighter cohort over 25 post-bushfire months and analyzes morbidity trajectories and predictors, without a pre-event outcome or changing objective hazard exposure.",NARRATIVE_ONLY,"Exposed-only cohort of 469 firefighters followed 25 months after a bushfire disaster; no pre-event outcome or unexposed comparator, and abstract reports predictors/patterns rather than a hazard effect, so no credible counterfactual.",DO_NOT_ADVANCE_MAIN_META
7,D0000167,The aetiology of post-traumatic stress disorders following a natural disaster,1988,The British Journal of Psychiatry,wildfire,NARRATIVE_ONLY,"The longitudinal label refers to follow-up after bushfire exposure; the abstract gives no pre-event PTSD outcome and evaluates perceived threat, losses, and personal predictors.",NARRATIVE_ONLY,"Exposed firefighter cohort followed post-bushfire; no pre-event mental health outcome or unaffected comparison is described. Exposure intensity was assessed as a predictor but the abstract reports no quantitative hazard effect, only premorbid personality/history correlates of PTSD.",DO_NOT_ADVANCE_MAIN_META
8,D0000191,Posttraumatic Phenomena in a Longitudinal Study of Children Following a Natural Disaster,1987,Journal of the American Academy of Child and Adolescent Psychiatry,wildfire,NARRATIVE_ONLY,The exposed schoolchildren were followed only after the bushfire; the study describes prevalence over 18 months and predictors rather than an objective hazard effect with a counterfactual.,NARRATIVE_ONLY,"Abstract reports longitudinal post-bushfire prevalence stability and maternal predictors of posttraumatic phenomena, but no pre-event baseline, unexposed comparator, hazard effect estimate, or uncertainty. This is descriptive/predictor analysis, not a hazard effect for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
9,D0000199,A longitudinal study of the psychological morbidity in children due to a natural disaster,1987,Psychological Medicine,wildfire,NARRATIVE_ONLY,Psychological morbidity was first measured two months after the bushfire and then followed in the exposed group; the comparison is post-event and no pre-event outcome baseline is described.,NARRATIVE_ONLY,"Abstract reports post-fire prevalence of child psychological morbidity at 2, 8, and 26 months and comparison to a selected group; no pre-event baseline or credible counterfactual is described, and no extractable hazard effect with uncertainty is reported.",DO_NOT_ADVANCE_MAIN_META
10,D0000370,The effect of disaster on the health and well-being of older women.,1985,International journal of aging & human development,flood,NARRATIVE_ONLY,A retrospective survey five years after the flood compares victims with controls and asks perceived flood effects; there is no prospectively measured pre-event mental-health outcome.,NARRATIVE_ONLY,Retrospective cohort survey five years after a major flood compares 122 female victims and 45 controls from the same communities. No pre-event outcome or credible counterfactual; this is a single post-event exposed/unexposed comparison.,DO_NOT_ADVANCE_MAIN_META
11,D0000510,Mortality and economic instability: Detailed analyses for Britain and comparative analyses for selected industrialized countries,1983,International Journal of Health Services,temperature,EXCLUDE,The study's primary explanatory focus is economic change and unemployment; unusually cold winter temperature is only one additional environmental factor in a broad mortality model.,EXCLUDE,"Title and abstract center on economic instability and unemployment as primary exposures; unusually cold winter temperatures are mentioned only as an additional environmental risk factor among alcohol/cigarette use, not the main climate-hazard exposure. Suicide mortality is eligible, but the hazard is non-primary.",DO_NOT_ADVANCE_MAIN_META
