dedup_id,title,abstract,year,journal,authors,sources,all_dois,candidate_topics,broad_screen_reason,broad_module_decisions
D0000010,"Psychological symptoms in older adults following natural disaster: Nature, timing, duration, and course","Using a prospective design with five follow-up intervals, the study addressed questions regarding the timing of onset, duration, course, and nature of psychological reactions to natural disaster. As participants in a statewide panel study, more than 200 older adults were interviewed both before and after two distinct floods occurred in southeastern Kentucky in 1981 and 1984. Exposure to these incidents, which differed in overall intensity, was assessed at both the individual and community levels. Personal loss was associated with short-term increases in negative affect, limited to one year postflood. Longer-term effects were more dependent on the level of community destruction. Exposure to high levels of community destruction was related to decreased positive affect up to two years postdisaster, whereas exposure to high levels of both community destruction and personal loss was predictive of increased negative affect for two years.",1989,Journals of Gerontology,Phifer J.F.,Embase; PsycINFO; PubMed; Scopus,10.1093/geronj/44.6.s207,flood,flood: INCLUDE - Prospective pre-post flood panel study measuring affect in older adults.,"{""flood"":""INCLUDE""}"
D0000042,Flood experience and posttraumatic trait anxiety in Appalachia,"Administered the State Trait Anxiety Inventory to 74 citizens of Buffalo Creek, WV, (ho had experienced devastating flooding) and to 40 citizens of Kopperston (a community close to Buffalo Creek) to determine the long term effect on trait anxiety resulting from a severe flood that occurred in 1972. Residents of Buffalo Creek reported higher trait anxiety than did residents of Kopperston. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1989,Psychological Reports,"Simpson-Housley, Paul; de Man, Anton",Embase; PsycINFO; PubMed; Scopus,10.2466/pr0.1989.64.3.896,flood,flood: INCLUDE - Flood-exposed residents compared to non-exposed; trait anxiety measured; eligible comparative cross-sectional design.,"{""flood"":""INCLUDE""}"
D0000074,"The aetiology of post-traumatic morbidity: Predisposing, precipitating and perpetuating factors","469 Australian firefighters were studied 4, 11, and 29 mo after having an extreme exposure to a bushfire disaster. Ss completed an inventory of events occurring before and after the disaster, the General Health Questionnaire, and the Eysenck Personality Inventory. Data indicate that Neuroticism and a past history of treatment for a psychological disorder were better predictors of posttraumatic morbidity than the degree of exposure to the disaster or the losses sustained. Results question the postulated central etiological role a traumatic event plays in the onset of morbidity. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",1989,The British Journal of Psychiatry,"McFarlane, Alexander C.",Embase; PsycINFO; PubMed; Scopus,10.1192/bjp.154.2.221,wildfire,wildfire: INCLUDE - Longitudinal cohort of bushfire-exposed firefighters with repeated mental health outcome measures.,"{""wildfire"":""INCLUDE""}"
D0000111,Morbidity of hurricane elena,"ABSTRACT: On Sept 2, 1985, Hurricane Elena struck the Gulf Coast of Mississippi. We conducted a retrospective review of Emergency Department logs for a one-week period before and a two-week period after the storm to determine what additional support would be needed to manage such a disaster. There was a significant increase in the number of patients treated for psychiatric problems and trauma. These findings are similar to the results obtained in a study at the same hospital after Hurricane Frederic in 1979. © 1988 Southern Medical Association.",1988,Southern Medical Journal,Longmirk A.W.,PubMed; Scopus,10.1097/00007611-198811000-00002,cyclone,"cyclone: INCLUDE - Retrospective ED log review before vs after Hurricane Elena; psychiatric visits increased, eligible temporal contrast.","{""cyclone"":""INCLUDE""}"
D0000116,Prior experience as a moderator of disaster impact on anxiety symptoms in older adults.,"As participants in a panel study, 234 older adults were interviewed before, as well as after, serious flooding occurred in southeastern Kentucky. Floods are not uncommon in this area, but these were more widespread than most, and resulted in both previously exposed and newly exposed subsamples of disaster victims. Flood impact was measured at both personal and community levels. With preflood symptoms controlled, there were modest flood effects on both trait anxiety and weather-specific distress in older adults without prior flood experience, but no flood effects in older adults who had been in floods before. Thus, the study provides support for the ""inoculation hypothesis"" and other conceptualizations that emphasize the advantage of being familiar or experienced with a stressor that is at hand. An implication is that ""experienced"" victims could be a valuable resource in prevention efforts.",1988,American journal of community psychology,Norris FH; Murrell SA,PsycINFO; PubMed,10.1007/bf00930020,flood,flood: INCLUDE - Panel study with pre/post flood measures of anxiety in older adults.,"{""flood"":""INCLUDE""}"
D0000159,The longitudinal course of posttraumatic morbidity: The range of outcomes and their predictors,"This study examined the longitudinal course, over a 25-month period, of posttraumatic morbidity in a group of 469 firefighters exposed to a bushfire disaster. The patterns of posttraumatic morbidity were defined by the General Health Questionnaire. Contrary to expectation, an acute pattern of morbidity was less common than the delayed-onset or chronic forms. Predisaster variables were found to be as important in the onset and course of the disorder as were the firefighters’ losses or extent of exposure to the disaster. These data suggest that exposure to an extreme trauma is necessary but not sufficient to explain the onset and pattern of posttraumatic morbidity. © 1988 by The Williams & Wilkins Co.",1988,Journal of Nervous and Mental Disease,McFarlane A.,PsycINFO; PubMed; Scopus,10.1097/00005053-198801000-00004,wildfire,wildfire: INCLUDE - Longitudinal study of bushfire-exposed firefighters examining posttraumatic morbidity and predictors.,"{""wildfire"":""INCLUDE""}"
D0000167,The aetiology of post-traumatic stress disorders following a natural disaster,"Investigated the onset of posttraumatic stress disorder (PTSD) in 469 firefighters who had an intense exposure to a bushfire disaster using a longitudinal research design. Contrary to expectation, the intensity of exposure, the perceived threat, and the losses sustained in the disaster, when considered independently, were not predictors of PTSD. By contrast, introversion, neuroticism, and a past history and family history of psychiatric disorder were premorbid factors significantly associated with the development of chronic PTSDs. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",1988,The British Journal of Psychiatry,"McFarlane, Alexander C.",Embase; PsycINFO; PubMed; Scopus,10.1192/bjp.152.1.116,wildfire,wildfire: INCLUDE - Longitudinal study of firefighters' PTSD following bushfire exposure.,"{""wildfire"":""INCLUDE""}"
D0000191,Posttraumatic Phenomena in a Longitudinal Study of Children Following a Natural Disaster,"This longitudinal study examined the prevalence of posttraumatic phenomena and how they relate to symptomatic and behavioral disorders in a population of schoolchildren exposed to an Australian bushfire disaster. The prevalence of these phenomena did not change over an 18-month period, suggesting that they were markers of significant developmental trauma. The mothers' responses to the disaster were better predictors of the presence of posttraumatic phenomena in children than the children's direct exposure to the disaster. Both the experience of intrusive memories by the mothers and a changed pattern of parenting seemed to account for this relationship. © 1987, The American Academy of Child and Adolescent Psychiatry. All rights reserved.",1987,Journal of the American Academy of Child and Adolescent Psychiatry,McFARLANE A.,PsycINFO; PubMed; Scopus,10.1097/00004583-198709000-00025,wildfire,wildfire: INCLUDE - Longitudinal study of children after bushfire measuring posttraumatic phenomena; eligible exposure and outcome.,"{""wildfire"":""INCLUDE""}"
D0000199,A longitudinal study of the psychological morbidity in children due to a natural disaster,"Examined the psychological impact of a bushfire disaster on a group of 808 5–12 yr olds. Contrary to prediction, the prevalence of behavior and emotional problems 2 mo after the fire was less than the prevalence in a carefully selected comparison group. Rather than decrease with time, the prevalence of psychological morbidity increased significantly, being as great 26 mo after the disaster as at 8 mo. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1987,Psychological Medicine,"McFarlane, Alexander C.; Policansky, Sandra K.; Irwin, Claire",PsycINFO; PubMed,10.1017/s0033291700025964,wildfire,wildfire: INCLUDE - Longitudinal study of bushfire-exposed children measuring psychological morbidity over time.,"{""wildfire"":""INCLUDE""}"
D0000370,The effect of disaster on the health and well-being of older women.,"Relatively little attention has been paid to the post-disaster health status and well-being of older persons. The data discussed in this article were gathered through use of a retrospective cohort survey five years following a major flood in the Wyoming Valley of Pennsylvania. The subsample of women sixty-five years and older used in this analysis is composed of 122 female victims and forty-five controls from the same communities. The instruments used to measure mental status included Langner's 22-Item Scale, Zung's Self-rating Depression Scale, and a modified Self-Report Symptom Inventory (SCL-90). Additional items related to self-perceptions of health status, to influence of the flood on health and well-being, and to other issues. Significant differences occurred in self-perceptions, including state of mind after the flood (p less than .001), distress during recovery (p less than .001), quality of life after the flood (p less than .001), and frequency of thinking about the flood matters (p less than .025). Use of the instruments designed to assess mental status did not indicate greater levels of anxiety or depression in elderly victims as compared to non-victims.",1985,International journal of aging & human development,Melick ME; Logue JN,PsycINFO; PubMed,10.2190/qud0-yc8b-pgn8-ry6p,flood,"flood: INCLUDE - Retrospective cohort comparing flood victims to controls measured depression, anxiety, and wellbeing.","{""flood"":""INCLUDE""}"
D0000510,Mortality and economic instability: Detailed analyses for Britain and comparative analyses for selected industrialized countries,"This paper discusses a first-stage analysis of the link of unemployment rates, as well as other economic, social and environmental health risk factors, to mortality rates in postwar Britian. The results presented represent part of an international study of the impact of economic change on mortality patterns in industrialized countries. The mortality patterns examined include total and infant mortality and (by cause) cardiovascular (total), cerebrovascular and heart disease, cirrhosis of the liver, and suicide, homicide and motor vehicle accidents. Among the most prominent factors, that beneficially influence postwar mortality patterns in England/Wales and Scotland are economic growth and stability and health service availability. A principal detrimental factor to health is a high rate of unemployment. Additional factors that have an adverse influence on mortality rates are cigarette consumption and heavy alcohol use and unusually cold winter temperatures (especially in Scotland). The model of mortality that includes both economic changes and behavioral and environmental risk factors was successfully applied to infant mortality rates in the interwar period. In addition, the 'simple' economic change model of mortality (using only economic indicators) was applied to other industrialized countries. In Canada, the United States, the United Kingdom, and Sweden, the simple version of the economic change model could be successfully applied only if the analysis was begun before World War II; for analysis beginning in the postwar era, the more sophisticated economic change model, including behavioral and environmental risk factors, was required. In France, West Germany, Italy, and Spain, by contrast, some success was achieved using the simple economic change model.",1983,International Journal of Health Services,"Brenner, M.H.",Embase; PubMed; Scopus,10.2190/6xa5-4w36-m8hr-nx1x,temperature,temperature: INCLUDE - Time-series ecological analysis of cold winter temperatures and cause-specific mortality including suicide.,"{""temperature"":""INCLUDE""}"
D0000601,Cyclone '78 in Sri Lanka--the mental health trail.,"A longitudinal study of psychological disturbance in the affected population in Sri Lanka after the cyclone disaster of 1978 was carried out. The post-cyclonic stress identified among the rural communities after their return to the same destroyed environment was studied. Symptoms tended to be early or delayed in appearance. The degree of unpreparedness is postulated as the causes of the former. Group cohesiveness and feelings of community tended to delay the manifestation of symptoms. Realization of losses, family needs, and continued habitation in damaged homes acted as reminders and reinforcers. Morbidity continued to affect over half the population one year later. Early intervention within community settings after such disasters is recommended.",1981,The British journal of psychiatry : the journal of mental science,Patrick V; Patrick WK,Embase; PsycINFO; PubMed; Scopus,10.1192/bjp.138.3.210,cyclone,cyclone: INCLUDE - Longitudinal study of psychological disturbance after 1978 cyclone in Sri Lanka.,"{""cyclone"":""INCLUDE""}"
D0000764,Cyclone Tracy and Darwin evacuees: On the restoration of the species,"Administered the General Health Questionnaire, a validated objective measure of the state of psychological function, to determine the incidence and course of psychological dysfunction in 675 evacuees from Darwin, Australia, following disaster caused by Cyclone Tracy. Results show that while psychological dysfunction was increased initially (58%) and at 10 wks (41%), it had returned to an Australian general population control level (22%) at 14 mo. Factors influencing psychological dysfunction were examined, and it is suggested that the sample faced 2 different stressors at differing times. Initial psychiatric morbidity was most clearly associated with the experience of thinking that one might die or be seriously injured and therefore conceptualized as a mortality stressor. Psychiatric morbidity at 10 wks appeared to be most closely associated with what has been conceptualized as a ""relocation stressor."" Reasons why psychiatric morbidity decreased to a general population control level are discussed. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",1977,The British Journal of Psychiatry,"Parker, Gordon",Embase; PsycINFO; PubMed,10.1192/bjp.130.6.548,cyclone,cyclone: INCLUDE - Longitudinal study of evacuees after Cyclone Tracy measuring psychological dysfunction over time.,"{""cyclone"":""INCLUDE""}"
D0000781,"The Brisbane floods, January 1974: their impact on health.","In the 12 months following the Brisbane flood of 1974, 234 flooded families (695 persons) and 163 non-flooded families (507 persons) were interviewed to ascertain changes in health status. We found that the number of visits to general practitioners, hospitals and specialists were all significantly increased for flooded persons in the year following the flood. Persistent psychological symptoms, which included irritability, nervous tension and depressed mood, predominated in those seeking medical care, and the consumption of sleeping tablets and psychotropic drugs rose. Increased psychological symptoms were significantly more common in female than in male flood victims and significantly more common in both sexes than increased physical complaints. There was no increase in mortality after the flood. The incidence of psychiatric symptoms was directly related to dissatisfaction with help received.",1976,The Medical journal of Australia,Abrahams MJ; Price J; Whitlock FA; Williams G,Embase; PubMed; Scopus,10.5694/j.1326-5377.1976.tb115530.x,flood,flood: INCLUDE - Flooded families compared to non-flooded; psychological symptoms increased post-flood.,"{""flood"":""INCLUDE""}"
D0001122,Psychological distress and somatic symptoms after natural disaster: differential vulnerability among older adults.,"In a panel study, more than 200 older adults were interviewed before and after a severe flood in southeastern Kentucky in 1984. The issue in this study was whether older adult flood victims were differentially vulnerable to increases in psychological and physical symptoms on the basis of their age, sex, marital status, occupational status, education level, and preflood symptom levels. Flood exposure was related to increases in depressive, anxiety, and somatic symptoms at 18 months postflood. Within this older adult sample, men, those with lower occupational status, and persons aged 55-64 were at significantly greater risk for increases in psychological symptoms. Sociodemographic status did not moderate the impact of flood exposure on physical health. Implications for crisis-intervention services to older adult disaster victims are discussed.",1990,Psychology and aging,Phifer JF,PubMed,10.1037//0882-7974.5.3.412,flood,flood: INCLUDE - Panel study of older adults pre/post flood links flood exposure to depressive and anxiety symptoms.,"{""flood"":""INCLUDE""}"
D0001227,The impact of hurricane hugo and the san francisco earthquake on a sample of people with rheumatoid arthritis,"The health effects of two natural disasters on 32 people with rheumatoid arthritis (RA) were assessed during the second‐year wave of interviews in an ongoing 3‐year study. Although the severity of Hurricane Hugo exceeded that of the San Francisco earthquake, no significant differences in health impacts were found. Both groups reported significantly increased ratings of RA activity, pain, and depression compared with ratings during the first year. However, comparison with the rest of the sample (n = 767) showed that increases in disease activity and pain were a general phenomenon but that the increase in depression was unique to the disaster subsample. Physician health status assessments also indicated that those who experienced the disaster were more likely to be classified in later stages of the disease subsequent to the disaster and were more likely to experience flares. These results suggest that people with RA may constitute a special high‐risk population for adverse health effects after natural disasters. Copyright © 1991 American College of Rheumatology",1991,Arthritis Rheumatism,Grady K.E.,Embase; PsycINFO; PubMed; Scopus,10.1002/art.1790040208,cyclone,"cyclone: INCLUDE - Longitudinal study of hurricane-exposed RA patients showing increased depression, with eligible temporal contrast.","{""cyclone"":""INCLUDE""}"
D0001391,The effects of a natural disaster on child behavior: Evidence for posttraumatic stress,"Objectives. A prospective study of children examined both before and after a flood disaster in Bangladesh is used to test the hypothesis that stressful events play a causal role in the development of behavioral disorders in children. Methods. Six months before the disaster, structured measures of selected behavioral problems were made during an epidemiological study of disability among 2- to 9-year-old children. Five months after the disaster, a representative sample of 162 surviving children was reevaluated. Results. Between the pre- and postflood assessments, the prevalence of aggressive behavior increased from zero to nearly 10%, and 45 of the 134 children who had bladder control before the flood (34%) developed enuresis. Conclusions. These results help define what may be considered symptoms of posttraumatic distress in childhood; they also contribute to mounting evidence of the need to develop and evaluate interventions aimed at ameliorating the behavioral and psychological consequences of children's exposure to extreme and traumatic situations.",1993,American Journal of Public Health,Durkin M.S.,Embase; PsycINFO; PubMed; Scopus,10.2105/ajph.83.11.1549,flood,flood: INCLUDE - Prospective pre-post flood study measuring child behavioral outcomes,"{""flood"":""INCLUDE""}"
D0001404,Post-traumatic stress disorder in adolescents after a hurricane,"A school-based study conducted in 1990, 1 year after Hurricane Hugo, investigated the frequency and correlates of post-traumatic stress disorder (PTSD) in 1,264 adolescents aged 11-17 years residing in selected South Carolina communities. Data were collected via a 174-item self-administered questionnaire that included a PTSD symptom scale. A computer algorithm that applied decision rules of the Diagnostic and Statistical Manual of Mental Disorders, Third Edition, Revised to the symptoms reported was used to assign a diagnosis of PTSD and to designate the number of individuals who met the reexperiencing (20-), avoidance (9-), and arousal (18-) criteria. Rates of PTSD were lowest in black males (1.5-) and higher, but similar, in the remaining groups (3.8-6.2-). Results from a multivariable logistic model indicated that exposure to the hurricane (odds ratio (OR) = 1.26, 95- confidence interval 1.13-1.41), experiencing other violent traumatic events (OR = 2.46, 95- confidence interval 1.75-3.44), being white (OR = 2.03, 95- confidence interval 1.12-3.69) and being female (OR = 2.17, 95- confidence interval 1.15-4.10) were significant correlates of PTSD. © 1993 by The Johns Hopkins University School of Hygiene and Public Health.",1993,American Journal of Epidemiology,Garrison C.Z.,PubMed; Scopus,10.1093/oxfordjournals.aje.a116886,cyclone,cyclone: INCLUDE - Adolescents 1 year after Hurricane Hugo; PTSD modeled with hurricane exposure OR.,"{""cyclone"":""INCLUDE""}"
D0001472,A test of the social support deterioration model in the context of natural disaster.,"This prospective longitudinal study examined stress-mediating potentials of 3 types of social support: social embeddedness, perceived support from nonkin, and perceived support from kin. As participants in a statewide panel study, 222 older adults were interviewed once before and twice after a severe flood. It was hypothesized that disaster exposure (stress) would influence depression directly and indirectly, through deterioration of social support. LISREL analyses indicated that postdisaster declines in social embeddedness and nonkin support mediated the immediate and delayed impact of disaster stress. No evidence was found for the mediational role of kin support. Findings are in accord with conceptualizations of social support as an entity reflecting dynamic transactions among individuals, their social networks, and environmental pressures.",1993,Journal of personality and social psychology,Kaniasty K; Norris FH,PubMed,10.1037//0022-3514.64.3.395,flood,flood: INCLUDE - Prospective longitudinal panel with pre/post flood interviews; assessed flood exposure effect on depression.,"{""flood"":""INCLUDE""}"
D0001539,Psychological distress of adolescents exposed to Hurricane Hugo,"To ascertain the effects of a natural disaster on adolescents, 1482 South Carolina high school students who were exposed to Hurricane Hugo were surveyed 1 year after the disaster. Subjects completed a self-administered questionnaire measuring Hugo exposure, nonviolent and violent life events, social support, self-efficacy, and psychological distress. Results showed that the students reported minimal exposure to the hurricane and psychological distress variables approximated national norms. As exposure increased, adolescents reported increased symptoms of psychological distress; i.e., anger, depression, anxiety, and global mental distress. Females and white students experienced higher levels of distress. In most cases, other stressful life events were at least as strong a predictor of psychological distress as was exposure to the hurricane. Self-efficacy and social support were protective. © 1994 Plenum Publishing Corporation.",1994,Journal of Traumatic Stress,Hardin S.B.,Embase; PubMed; Scopus,10.1007/bf02102787,cyclone,cyclone: INCLUDE - Adolescents surveyed after Hurricane Hugo; exposure linked to psychological distress.,"{""cyclone"":""INCLUDE""}"
D0001554,"Predictors of posttraumatic stress symptoms among survivors of the Oakland/Berkeley, Calif., Firestorm","Objective: The purpose of this study was to examine factors predicting the development of posttraumatic stress symptoms after a traumatic event, the 1991 Oakland/Berkeley firestorm. The major predictive factors of interest were dissociative, anxiety, and loss of personal autonomy symptoms reported in the immediate aftermath of the fire; contact with the fire; and life stressors before and after the fire. Method: Subjects were recruited from several sources so that they would vary in their extent of contact with the fire. Of 187 participants who completed self-report measures about their experiences in the aftermath of the firestorm, 154 completed a follow-up assessment. Of these 154 subjects, 97% completed the follow-up questionnaires 7-9 months after the fire. The questionnaires included measures of posttraumatic stress and life events since the fire. Results: Dissociative and loss of personal autonomy symptoms experienced in the fire's immediate aftermath, as well as stressful life experiences occurring later, significantly predicted posttraumatic stress symptoms measured 7-9 months after the firestorm by a civilian version of the Mississippi Scale for Combat-Related Posttraumatic Stress Disorder and the Impact of Event Scale. Dissociative symptoms more strongly predicted posttraumatic symptoms than did anxiety and loss of personal autonomy symptoms. Intrusive thinking differs from other kinds of posttraumatic symptoms in being related directly to the trauma and previous stressful life events. Conclusions: These findings suggest that dissociative symptoms experienced in the immediate aftermath of a traumatic experience and subsequent stressful experiences are indicative of risk for the later development of posttraumatic stress symptoms. Such measures may be useful as screening procedures for identifying those most likely to need clinical care to help them work through their reactions to the traumatic event and to subsequent stressful experience.",1994,American Journal of Psychiatry,"Koopman, C.; Classen, C.; Spiegel, D.",Embase; PsycINFO; PubMed,10.1176/ajp.151.6.888,wildfire,wildfire: INCLUDE - Longitudinal cohort of wildfire survivors examining predictors of PTSD symptoms.,"{""wildfire"":""INCLUDE""}"
D0001664,Posttraumatic Stress Disorder in Adolescents after Hurricane Andrew,"To examine rates and correlates of posttraumatic stress disorder (PTSD) in adolescents after Hurricane Andrew. A random-digit dialing sample of 158 Hispanic, 116 black, and 104 white adolescent-parent pairs were surveyed in high- and low-impact areas within Dade County, Florida, 6 months after Hurricane Andrew. Subjects completed a structured telephone interview focused on within-disaster experiences and emotional reaction, disaster-related losses, lifetime exposure to violent or traumatic events, recent stressful experiences, and psychiatric symptomatology. Approximately 3% of males (95% confidence interval 0.4 to 5.3) and 9% of females (95% confidence interval 4.6 to 13.7) met the criteria for PTSD. Rates were highest among blacks (8.3%, 95% confidence interval 2.3 to 14.2) and Hispanics (6.1%, 95% confidence interval 2.2 to 9.9) and increased with age (odds ratio of 1.34, 95% confidence interval 1.04 to 1.72) and the number of undesirable events reported (odds ratio of 1.38, 95% confidence interval 1.21 to 1.57). While only a relatively small percentage of adolescents reported symptoms consistent with a diagnosis of PTSD, most reported some posttraumatic symptoms. Postdisaster planning should recognize that common stressful events occurring after disasters may be more strongly associated with PTSD than magnitude of contact with the actual disaster. © 1995, The American Academy of Child and Adolescent Psychiatry. All rights reserved.",1995,Journal of the American Academy of Child and Adolescent Psychiatry,GARRISON C.Z.,PsycINFO; PubMed; Scopus,10.1097/00004583-199509000-00017,cyclone,cyclone: INCLUDE - Survey compared high vs low hurricane impact areas; measured PTSD in adolescents.,"{""cyclone"":""INCLUDE""}"
D0001665,Psychological Effects of Hurricane Andrew on an Elementary School Population,"To explore the prevalence and progression of posttraumatic symptomatology (PTS), using emotional and behavioral indices of psychopathology in school-age children in the pathway of Hurricane Andrew (HI-IMPACT) and in a comparison group north of Miami (LO-IMPACT). Pynoos' Posttraumatic Stress Disorder Reaction Index and Achenbach's Teacher's Report Form (TRF) were administered 8 weeks and 32 weeks after the hurricane. In addition, 21 measures of disruptive behavior cataloged by Dade County Public Schools were aggregated and compared by grading period between pre- and posthurricane school years. There were no statistically significant differences between the two schools in PTS at 8 weeks after the hurricane, although the children in the HI-IMPACT school were more likely to have severe PTS. TRF findings at 8 weeks revealed that children in the HI-IMPACT school evidenced lower means on the eight TRF scales and on the broader Internalizing and Externalizing measures. Analysis of the disruptive behavior revealed a drop in the marking period immediately after the hurricane in the HI-IMPACT area, but an opposite effect was observed in the LO-IMPACT area. After the hurricane there was an initial increase in PTS and a concomitant decrease in other measures of behavior and psychopathology. PTS remained relatively high throughout the school year, but there was a rebound and subsequent normalization of the measures of disruptive behavior. © 1995, The American Academy of Child and Adolescen",1995,Journal of the American Academy of Child and Adolescent Psychiatry,SHAW J.,Embase; PsycINFO; PubMed; Scopus,10.1097/00004583-199509000-00016,cyclone,cyclone: INCLUDE - Repeated post-hurricane comparison of high vs low impact areas measuring PTSD symptomatology.,"{""cyclone"":""INCLUDE""}"
D0001807,"Disaster related stresses, depressive signs and symptoms, and suicidal ideation among a multi-racial/ethnic sample of adolescents: A longitudinal analysis","Examined the relationships between disaster related stress, depression, and suicidal ideation in a longitudinal study of a multi-racial/ethnic sample of 4,978 adolescents who were exposed to Hurricane Andrew. Results from a regression analysis indicate that hurricane generated stresses, low levels of family support, pre-hurricane suicidal ideation, and post-hurricane depression scores were significant predictors of post-hurricane suicidal ideation. Hypothesized gender differences were weakly supported, with females showing elevated post-hurricane depression and stress. Path analysis indicate that low SES, pre- and post-hurricane depression, high stress scores, low family support, and pre-hurricane suicidal ideation have significant direct/indirect effects on post-hurricane suicidal ideation. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1996,Child Psychology & Psychiatry & Allied Disciplines,"Warheit, George J.; Zimmerman, Rick S.; Khoury, Elizabeth L.; Vega, William A.; Gil, Andres G.",Embase; PsycINFO; PubMed; Scopus,10.1111/j.1469-7610.1996.tb01424.x,cyclone,cyclone: INCLUDE - Longitudinal study of Hurricane Andrew exposure on adolescent depression and suicidal ideation.,"{""cyclone"":""INCLUDE""}"
D0002034,Children's predisaster functioning as a predictor of posttraumatic stress following Hurricane Andrew.,"This study examined (a) children's predisaster behavioral and academic functioning as a predictor of posttraumatic stress (PTS) following Hurricane Andrew and (b) whether children who were exposed to the disaster would display a worsening of prior functioning. Fifteen months before the disaster, 92 4th through 6th graders provided self-reports of anxiety; peers and teachers rated behavior problems (anxiety, inattention, and conduct) and academic skills. Measures were repeated 3 months postdisaster; children also reported PTS symptoms and hurricane-related experiences (i.e., exposure). PTS symptoms were again assessed 7 months postdisaster. At 3 months postdisaster, children's exposure to the disaster, as well as predisaster ratings of anxiety, inattention, and academic skills, predicted PTS symptoms. By 7 months, only exposure, African American ethnicity, and predisaster anxiety predicted PTS. Prior anxiety levels also worsened as a result of exposure to the disaster. The findings have implications for identifying and treating children at risk for stress reactions following a catastrophic disaster.",1998,Journal of consulting and clinical psychology,La Greca AM; Silverman WK; Wasserstein SB,PubMed,10.1037//0022-006x.66.6.883,cyclone,cyclone: INCLUDE - Longitudinal cohort with pre-disaster baseline examines Hurricane Andrew exposure and PTSD/anxiety.,"{""cyclone"":""INCLUDE""}"
