source_row,dedup_id,title,candidate_topics,gpt_decision,gpt_reason,deepseek_decision,deepseek_reason,crosses_fulltext_boundary
23,D0001665,Psychological Effects of Hurricane Andrew on an Elementary School Population,cyclone,FULLTEXT_REVIEW,"High- and low-impact schools were assessed twice after Hurricane Andrew and pre/post school behavior records were compared, but the abstract does not establish a hazard-effect counterfactual for the mental-health scales or report uncertainty.",NARRATIVE_ONLY,"Relevant cyclone mental-health study, but PTS outcome is measured only at 8 and 32 weeks post-hurricane in HI- vs LO-impact schools; no pre-event PTS baseline or credible counterfactual. Disruptive behavior pre-post is not an eligible mental-health outcome.",yes
24,D0001807,"Disaster related stresses, depressive signs and symptoms, and suicidal ideation among a multi-racial/ethnic sample of adolescents: A longitudinal analysis",cyclone,FULLTEXT_REVIEW,"The longitudinal analysis includes pre-hurricane depression and suicidal ideation and models post-hurricane ideation, but the hurricane-stress measure and effect uncertainty are not described.",NARRATIVE_ONLY,"Abstract uses self-reported 'hurricane generated stresses' as the exposure and describes all participants as exposed to Hurricane Andrew; no objective or externally verifiable hazard variation is used, so it cannot estimate a hazard effect.",yes
36,D0003415,Regional impact of Hurricane Isabel on emergency departments in Coastal Southeastern Virginia,cyclone,FULLTEXT_REVIEW,"Administrative ED visits after Hurricane Isabel are compared with a six-month pre-landfall average, but no modeled counterfactual or uncertainty is reported for psychiatric visits.",NARRATIVE_ONLY,"Abstract reports descriptive ED psychiatric complaint counts before and after Hurricane Isabel (e.g., 13 average daily pre-landfall, 6 on landfall, 10 subsequent days) with percentage changes but no adjusted effect or uncertainty. No credible causal counterfactual for mental-health outcome.",yes
41,D0003717,Mental illness and suicidality after Hurricane Katrina,cyclone,FULLTEXT_REVIEW,"Independent pre- and post-Katrina regional surveys show quantified prevalence differences, but the abstract does not establish an unaffected control or another credible counterfactual for secular change.",NARRATIVE_ONLY,"Compares two separate cross-sectional samples before and after Hurricane Katrina in the same area; no within-person pre-exposure outcome or contemporaneous control, so lacks credible counterfactual for causal effect.",yes
46,D0004110,The August 2003 heat wave in France: effects on psychiatric disorders and suicidal behavior,temperature,FULLTEXT_REVIEW,"Psychiatric emergencies during the 2003 heatwave are compared with 2002, but the abstract does not show a modeled temporal counterfactual or effect uncertainty.",NARRATIVE_ONLY,"Abstract compares emergency psychiatric consultations and diagnostic percentages between June-October 2002 and 2003, reporting only prevalence (e.g., suicidal behavior 12.3% vs 25%) and admission proportions without adjusted hazard effects or uncertainty; no credible counterfactual.",yes
51,D0004481,Predisaster trait anxiety and negative affect predict posttraumatic stress in youths after Hurricane Katrina,cyclone,NARRATIVE_ONLY,"Predisaster traits and symptoms were available, but Katrina exposure is represented by the reported number of hurricane exposure events without external linkage.",EXCLUDE,"Abstract frames predisaster trait anxiety and negative affect, not hurricane exposure, as the main predictors; hurricane exposure events are only a covariate/secondary predictor, so the hazard is not the primary exposure and no extractable hazard effect is reported.",no
54,D0004714,A prospective study on changes in health status following flood disaster,flood,FULLTEXT_REVIEW,"Residents had pre-flood SF-36 data and were reassessed after the flood, but depression and PTSD appear measured only postflood and no flood-effect estimate with uncertainty is reported.",NARRATIVE_ONLY,"The abstract reports depression and PTSD only at 18-month follow-up; the pre-flood assessment was SF-36 general health, so no pre-event mental-health baseline. Thus post-flood prevalence and predictor associations are not a hazard effect with a credible counterfactual.",yes
56,D0004764,Unwanted intrusive thoughts and cognitive functioning in kindergarten and young elementary school-age children following Hurricane Katrina,cyclone,NARRATIVE_ONLY,"Children were surveyed once seven months after Katrina and compared with unaffected children, with no pre-event outcome.",EXCLUDE,"The study measures unwanted intrusive thoughts and cognitive functioning in children after Hurricane Katrina. Intrusive thoughts are not among the eligible mental-health outcomes, so the record is excluded for wrong outcome.",no
58,D0005018,Symptoms of depression and posttraumatic stress disorder in an outpatient population before and after Hurricane Katrina,cyclone,FULLTEXT_REVIEW,"Different clinic patients were sampled in the month before and after Katrina; depression changed, but comparability, temporal control, and effect uncertainty are not established.",NARRATIVE_ONLY,"The abstract reports depression/PTSD scores for separate outpatient samples in the month before (n=76) and month after (n=80) Katrina; independent cross-sections, not within-person pre/post, so no credible counterfactual for a causal hurricane effect.",yes
67,D0005668,"Resource loss, resource gain, and mental health among survivors of Hurricane Katrina",cyclone,EXCLUDE,The explanatory variables are post-hurricane resource loss and gain; disaster exposure is controlled as a covariate rather than estimated as the main hazard effect.,NARRATIVE_ONLY,"Abstract reports a longitudinal predictor analysis of resource loss/gain and posthurricane psychological distress, not a hazard effect. Disaster exposure is only a covariate and no Hurricane Katrina effect estimate or uncertainty is reported.",no
