dedup_id,title,year,journal,candidate_topics,ai_suggestion_v3,ai_reason_v3,rater_a,rater_b,rater_c,rater_a_note,rater_b_note,rater_c_note
D0001619,Children exposed to disaster: I. Epidemiology of post-traumatic symptoms and symptom profiles,1994,Journal of the American Academy of Child and Adolescent Psychiatry,cyclone,EXCLUDE,cyclone: EXCLUDE [wrong_design] - Cross-sectional survey 3 months post-hurricane with no pre-hazard baseline; cannot identify within-unit hazard effect.,EXCLUDE,,EXCLUDE,,,cross sectional
D0004473,"Post-traumatic stress disorder in children and adolescents one year after a super-cyclone in Orissa, India: Exploring cross-cultural validity and vulnerability factors",2007,BMC Psychiatry,cyclone,EXCLUDE,cyclone: EXCLUDE [wrong_design] - Single post-cyclone assessment comparing high vs low exposure areas; lacks within-unit temporal variation.,EXCLUDE,,EXCLUDE,,,cross sectional
D0005795,Trends in serious emotional disturbance among youths exposed to Hurricane Katrina,2010,Journal of the American Academy of Child & Adolescent Psychiatry,cyclone,INCLUDE,cyclone: INCLUDE - Longitudinal study of youths post-Hurricane Katrina measuring serious emotional disturbance across waves; eligible hazard and outcome.,EXCLUDE,REVIEW,,,,
D0005939,The psychological impact from Hurricane Katrina: Effects of displacement and trauma exposure on university students,2010,Behavior Therapy,cyclone,EXCLUDE,cyclone: EXCLUDE [wrong_design] - Cross-sectional post-hurricane survey comparing displaced vs non-displaced students; no within-unit temporal variation.,EXCLUDE,EXCLUDE,,"Topic hits, but not casual study",This is cross-sectional,
D0006492,My disaster recovery: A pilot randomized controlled trial of an internet intervention,2012,"Anxiety, Stress & Coping: An International Journal",cyclone,EXCLUDE,"cyclone: EXCLUDE [wrong_design] - Pilot RCT testing a digital intervention after Hurricane Ike; estimates treatment effect, not hazard effect.",EXCLUDE,,EXCLUDE,,,
D0006805,The effect of COPD health forecasting on hospitalisation and health care utilisation in patients with mild-to-moderate COPD,2011,Chronic Respiratory Disease,temperature,EXCLUDE,"temperature: EXCLUDE [wrong_outcome] - Outcome is COPD admissions and healthcare use, not mental health/wellbeing.",EXCLUDE,,EXCLUDE,,,
D0007065,Effect of forced transitions on the most functionally impaired nursing home residents,2012,Journal of the American Geriatrics Society,cyclone,EXCLUDE,"cyclone: EXCLUDE [wrong_outcome] - Outcomes are hospitalization and mortality, not mental health or wellbeing.",EXCLUDE,,EXCLUDE,,,
D0008842,The influence of weather on health-related help-seeking behavior of senior citizens in Hong Kong.,2015,International journal of biometeorology,temperature,EXCLUDE,"temperature: EXCLUDE [wrong_outcome] - Outcome is general health-related help-seeking, not a measured mental-health/wellbeing outcome.",,REVIEW,EXCLUDE,,,
D0010475,"Social support, coping strategies and their correlations with older adults’ relocation adjustments after natural disaster",2017,Geriatrics and Gerontology International,cyclone,REVIEW,cyclone: INCLUDE - Typhoon Morakot and depressive symptoms in relocated older adults; design not explicit.,EXCLUDE,EXCLUDE,,Not casual study - we wanna something that uses within-unit variation.,same above,
D0012580,Predicting patterns of disaster-related resiliency among older adult Typhoon Haiyan survivors.,2018,"Geriatric nursing (New York, N.Y.)",cyclone,EXCLUDE,"cyclone: EXCLUDE [wrong_outcome] - Outcome is resiliency, not an eligible mental-health/wellbeing outcome.",EXCLUDE,EXCLUDE,,,,
D0012949,Examining the Association between Apparent Temperature and Mental Health-Related Emergency Room Visits in California,2018,American Journal of Epidemiology,temperature,INCLUDE,temperature: INCLUDE - Apparent temperature associated with mental health ER visits and self-harm via time-series analysis.,INCLUDE,,INCLUDE,,,
