dedup_id,title,candidate_topics,mental_health_signal,final_decision,one_line_reason,per_topic,model_name,criteria_version,screened_at
D0057968,The Impact of Primary Disease on Patient Satisfaction in Outpatient Care: A Nationwide Analysis,,yes,EXCLUDE (no eligible topic),No eligible hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:10:21
D0060864,Effects of graded focal cold block in the solitary and para‐ambigual regions of the medulla in the cat,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:10:23
D0073944,Validation of histocultures from adult human brain as a tool to study age-associated neurodegenerative diseases,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:10:26
D0059771,"Socio-ecological factors associated with eco-anxiety following the 2023 wildfires among Northern and Indigenous youth in the Northwest Territories, Canada: Cros",wildfire,yes,INCLUDE,wildfire:INCLUDE,"{""wildfire"": {""decision"": ""INCLUDE"", ""review_flag"": false, ""reason"": ""Study links wildfire exposure to eco-anxiety in youth.""}}",gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:10:31
D0114009,On the temporal variation of concentration and wet deposition of sulfate associated with a single event of frontal depression,,no,EXCLUDE (no eligible topic),No specific hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:10:33
D0044780,The development of anxiety and exploration in two species of the African striped mouseRhabdomys,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:10:35
D0034875,Trees in the urban environment: Response mechanisms and benefits for the ecosystem should guide plant selection for future plantings,,no,EXCLUDE (no eligible topic),No specific hazard topics are mentioned in the record.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:10:38
D0005327,The state of ambient air quality in Pakistan--a review.,,no,EXCLUDE (no eligible topic),No specific hazard topics present; focuses on air quality and pollutants.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:10:41
D0065633,Exploring children's conceptions of smoking addiction,,no,EXCLUDE (no eligible topic),No relevant climate hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:10:43
D0022125,Evaluation of Remotely Sensed Inundation Data Sets to Estimate Flood-Associated Emergency Department Visits After Hurricane Harvey.,flood,no,EXCLUDE,flood:EXCLUDE,"{""flood"": {""decision"": ""EXCLUDE"", ""review_flag"": false, ""reason"": ""Outcome is physical health (IID-ED visits), not mental health.""}}",gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:10:48
D0074826,"Evaluation of factors influencing the relationship between physical activity, the perception of pain and psychological attitudes to pain in humans.",,no,EXCLUDE (no eligible topic),No eligible hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:10:50
D0099739,Distress vocalizations of young in three inbred strains of mice,,no,EXCLUDE (no eligible topic),"Study focuses on mice vocalizations, not human populations or climate hazards.",{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:10:53
D0123227,Smoking policy in mental health care,,yes,EXCLUDE (no eligible topic),No eligible hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:10:55
D0018510,Vitamin D3 suppresses astrocyte activation and ameliorates coal dust-induced mood disorders in mice.,,yes,EXCLUDE (no eligible topic),No eligible hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:10:57
D0053053,The Role of Experiential Quality in a Vegetarian Restaurant from an Eco-Friendly Perspective,,no,EXCLUDE (no eligible topic),No specific climate hazard is mentioned in the title or abstract.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:00
D0067175,Suicidal and criminal immolations: An 18-year study and review of the literature,,yes,EXCLUDE (no eligible topic),No specific climate hazard is mentioned in the record.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:02
D0104900,[Relations of German anesthesiology to east European societies of anesthesiology].,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:05
D0091719,"A systematic review of effective local, community or peer-delivered interventions to improve well-being and employment in regional, rural and remote areas of Au",,yes,EXCLUDE (no eligible topic),"No specific climate hazard mentioned, but mental health and human population are relevant.",{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:07
D0049300,EECO: An AI-Based Algorithm for Energy-Efficient Comfort Optimisation,,no,EXCLUDE (no eligible topic),No specific climate hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:09
D0088247,"Unveiling Spatial Associations between COVID-19 Severe Health Index, Racial/Ethnic Composition, and Community Factors in the United States",,no,EXCLUDE (no eligible topic),No eligible hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:12
D0091407,Identifying Variation in Physical Health Behaviors and Depressive Symptoms among Religiosity Clusters of African American Adults in the United States,,yes,EXCLUDE (no eligible topic),No eligible hazard topics present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:14
D0026356,Three-dimensional seismic structure of the upper mantle beneath the central part of the Eurasian continent,,no,EXCLUDE (no eligible topic),No relevant climate hazard or mental health signal present.,{},gpt-4o-mini,per-topic prompt set 00-05 v2 (outcome discipline),2026-07-19T06:11:16
