dedup_id,title,status,decision,decision_basis,candidate_topics,reason,module_decisions,module_exclusion_codes,screening_mode,title_only_decision,title_only_exclusion_code
D0000009,Onset of Panic Disorder With Agoraphobia: Toward an Integrated Model,complete,REVIEW,topic_unclear,temperature,"Study of panic disorder with agoraphobia associates symptom onset with warm weather and season, implying potential temperature-related environmental trigger.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_design""}",title_abstract,,
D0000012,Behavior therapy: a clinical update.,complete,REVIEW,topic_unclear,,Behavior therapy for psychiatric disorders; no environmental hazard mentioned.,{},{},title_abstract,,
D0000033,Post-traumatic stress disorder.,complete,REVIEW,title_only_unclear,,Title only provides a mental disorder term with no exposure or study design information.,{},{},title_only,REVIEW,NA
D0000069,Synchrony and desynchrony in high and low arousal subjects undergoing therapeutic exposure,complete,REVIEW,topic_unclear,,Therapeutic exposure study for phobias; no environmental hazard topic present.,{},{},title_abstract,,
D0000079,Hypothermia and severe head injury.,complete,REVIEW,topic_unclear,temperature,Case report of hypothermia from cold exposure in head-injured patients.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_outcome""}",title_abstract,,
D0000088,Venous versus arterial forearm catecholamines as an index of overall sympatho-adrenomedullary activity.,complete,REVIEW,topic_unclear,temperature,Mentions cold provocation as a stress test; no other hazard topics.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000115,The elderly smoker.,complete,REVIEW,title_only_unclear,,Title alone is insufficient; potential relevance unclear.,{},{},title_only,REVIEW,NA
D0000119,Injuries in sailboard enthusiasts.,complete,REVIEW,topic_unclear,cyclone,"Study of windsurfing injuries mentions hurricane conditions, but hazard is incidental.","{""cyclone"":""EXCLUDE""}","{""cyclone"":""wrong_outcome""}",title_abstract,,
D0000121,Recent life events and psychiatric disorder in children: the interaction with preceding extreme adversity.,complete,REVIEW,topic_unclear,,Children survived natural disaster; hazard unnamed; emotional/behavioral outcomes indicate mental health review.,{},{},title_abstract,,
D0000149,Influence of sublingual captopril on plasma catecholamine levels during hypertensive emergencies and cold immersion.,complete,REVIEW,topic_unclear,temperature,Pharmacological study using cold immersion as experimental stimulus; not ambient temperature exposure.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0000152,Relationship between psychiatric impairment and a natural disaster: The role of distress,complete,REVIEW,eligibility_unclear,wildfire,"wildfire: REVIEW - Post-bushfire study of firefighters; design not specified, may be cross-sectional.","{""wildfire"":""REVIEW""}","{""wildfire"":""NA""}",title_abstract,,
