dedup_id,duplicate_count,sources,all_dois,all_source_ids,title,abstract,year,journal,authors
D0057968,2,Embase; Scopus,10.1097/jhq.0000000000000480,Embase:L2039196771; Scopus:2-s2.0-105008398044,The Impact of Primary Disease on Patient Satisfaction in Outpatient Care: A Nationwide Analysis,"Background: – Patient satisfaction is a key indicator of health care quality, yet the impact of primary diseases on outpatient satisfaction remains underexplored. This study examined whether the primary disease independently influences patient satisfaction.Methods: – We retrospectively analyzed 8, 259 outpatient experience records from clinics (n = 6, 347), hospitals (n = 1, 374), and tertiary hospitals (n = 538) using data from the 2023 Medical Service Experience Survey in Korea. The primary diseases for outpatient visit were categorized into 50 specific conditions grouped under 9 disease categories. Multivariate analyses were conducted, adjusting for demographic and health care-related factors.Results: – The primary disease was identified as an independent factor affecting satisfaction. Patients with cancer, particularly those with thyroid and breast cancer, reported the highest satisfaction, whereas patients with depression or bipolar disorder had the lowest. In addition, different diseases independently influenced satisfaction to varying degrees. Factors such as medical provider's manner (especially nurses) and facility convenience were also significantly associated with satisfaction.Conclusions: – Although the precise mechanisms remain unclear, the primary disease should be considered an important determinant of patient satisfaction. Future research should take into account the impact of specific diseases on patient satisfaction when designing studies or interpreting results.",2025,Journal for Healthcare Quality,"Park, J.; Kim, J."
D0060864,1,Scopus,10.1111/j.1748-1716.1985.tb07667.x,Scopus:2-s2.0-0021839854,Effects of graded focal cold block in the solitary and para‐ambigual regions of the medulla in the cat,"Unilateral focal cold blocks in the region of the nucleus tractus solitarius and the dorsal respiratory group of neurons, DRG, of anaesthetized cats consistently caused apneustic‐type breathing. There was no concomitant change in the initial rate of rise of inspiratory activity. The apneustic prolongation of inspiratory duration, T<inf>1</inf>, was most pronounced in, but was not confined to, the DRG. The apneustic effects were more marked after vagotomy. In cats with intact vagus nerves being given artificial ventilation, focal cooling at certain sites of the DRG region could produce ‘unlocking’ of the respiratory rhythm from that of the respiratory pump. At other sites in this region, focal cooling could selectively block the effects of the inspiration‐facilitating reflex induced by deflation without blocking the inspiration‐inhibiting Hering‐Breuer reflex. Unilateral focal cold blocks in the region of the intermediate part of the ventral respiratory group of neurons, VRG, generally caused depression of the rate of rise of inspiratory activity, but almost never apneustic effects. All effects of unilateral focal cooling both in the DRG and VRG were bilaterally symmetrical. No systematic differences between the effects on phrenic and external intercostal inspiratory activity were found in response to focal cooling either of the DRG or VRG suggesting that differential control of phrenic and external intercostal motoneurons is not exerted mainly at the level of these medullary",1985,Acta Physiologica Scandinavica,BUDZIŃSKA K.
D0073944,1,Embase,10.1111/jnc.14094,Embase:L618305678,Validation of histocultures from adult human brain as a tool to study age-associated neurodegenerative diseases,"Histocultures from adult human brain are a powerful model to study cellular and molecular aspects of neurologic diseases. The advantages of this approach over 2-D cultures include the preservation of brain cytoarchitecture and neuronal connectivity. Few studies so far have assessed the morphofunctional state of adult human brain-derived tissue along the days in culture. Here, we have evaluated cell survival and function of cortical slices from adult human brains (median age 39 ± 11) along several days in culture. Tissues were obtained from patients submitted to partial lobectomy for the treatment of pharmaco-resistant temporal lobe epilepsy (Ethics Committee HCRP17578/15). Only cortical tissue resected to get access to the hippocampus was used. Fragments (ca. 1 cm3) were collected at the surgical room, immersed in ice-cold, oxygenated buffered saline, sliced using a vibratome, and cultured. Tissue integrity was not affected by processing, as revealed by HE staining. MTT assay indicated no significant reduction in cell viability up to day 4. Immunohistochemistry revealed neuronal and astrocyte number stability along the days in vitro. Importantly, neurons remained synaptically active throughout the period in culture, as probed by ERK phosphorylation and neurotransmitter release after KCl-induced depolarization. The attack of Alzheimer's disease-associated Abeta oligomers to cultured slices was assessed by both IHC and ELISA. A massive binding of oligomers was evident, suggesting that this histoculture is amenable for modeling neurodegenerative diseases. This protocol may facilitate the application of histocultures from adult human brains in studies on new therapeutics for neurodegenerative disorders.",2017,Journal of Neurochemistry,"Sebollela, A.; Mendes, N.; Fernandes, A.; Almeida, G.; Santos, L.; Lyra-Silva, N.; Assirati, J.; Ferreira, S.; Garcia-Cairasco, N.; Neder, L."
D0059771,2,Embase; Scopus,10.1017/gmh.2026.10207,Embase:L2045291018; Scopus:2-s2.0-105037124789,"Socio-ecological factors associated with eco-anxiety following the 2023 wildfires among Northern and Indigenous youth in the Northwest Territories, Canada: Cross-sectional findings","Eco-anxiety is an emerging mental health concern among adolescents, particularly in regions affected by climate-related disasters. Following the 2023 wildfires in Canada’s Northwest Territories (NWT), this study examined associations between wildfire exposure severity, socio-ecological factors, and eco-anxiety among adolescents in the NWT. We conducted a cross-sectional survey with 290 adolescents aged 13–18 years across NWT secondary schools during the 2023–2024 school year. Structural equation modelling examined pathways linking social factors (gender, sexual orientation, Indigenous identity), living conditions (rural residence, caregiver status), structural conditions (food insecurity, wildfire exposure severity) and eco-anxiety. Self-esteem was examined as a moderator. Participants had a mean age of 13.7 years; most identifyied as Indigenous and lived in rural communities. Greater wildfire exposure severity and food insecurity were associated with higher eco-anxiety. Girls, LGBQ+ youth and rural youth reported higher eco-anxiety. Indigenous identity was indirectly associated with eco-anxiety through food insecurity and wildfire exposure severity. Higher self-esteem was associated with lower eco-anxiety and buffered the relationship between wildfire exposure and eco-anxiety. Findings suggest that eco-anxiety among NWT adolescents is shaped by climate-related disruption and social conditions. Interventions can address psychosocial resources and material conditions to support NWT youth mental health following climate-related disasters such as wildfires.",2026,Cambridge Prisms: Global Mental Health,"Wang, Y.; Hasham, A.; Logie, C.H.; Mackay, K.I.; Chen, S.S.; Monchalin, R.; Card, K.G.; Lys, C.L."
D0114009,1,Scopus,,Scopus:2-s2.0-0021849633,On the temporal variation of concentration and wet deposition of sulfate associated with a single event of frontal depression,"Analysis of sequential precipitation samples collected at 9 stations located in the Western Japan were carried out during a period from October to November 1979. Samples were taken by automatic, sequential samplers and measured for pH, conductivity and the concentration of major ions. The source and transport of SO<inf>4</inf><sup>2-</sup> in precipitation was discussed on the data obtained. Temporal variations in the concentration, enrichment factor and wet deposition of SO<inf>4</inf><sup>2-</sup> were divided into 'initial stage' and 'stable equilibrium stage' for convenient consideration. A rapid almost exponential decrease in the concentration of SO<inf>4</inf><sup>2-</sup> and other ions except H<sup>+</sup> was observed during the initial stage when the cyclone passed over the station area. The time constant of this attenuation process was within the range of 70 to 150 minutes. Wet deposition of the initial stage was relatively small, the stable equilibrium stage was considered to contribute an important role on the total wet deposition of SO<inf>4</inf><sup>2-</sup> associated with a single event of frontal depression. SO<inf>4</inf><sup>2-</sup> of the stable equilibrium stage was not the oceanic source because the enrichment factor of SO<inf>4</inf><sup>2-</sup> was larger than 1. Meteorological analysis suggested that SO<inf>4</inf><sup>2-</sup> of the stable equilibrium stage was the anthropogenic sulfur compound, which had been scavenged by precipitation elements",1985,Journal of Japan Society of Air Pollution,Fujita S.
D0044780,2,PsycINFO; Scopus,10.1007/s10519-021-10054-y,PsycINFO:2506316597; Scopus:2-s2.0-85103208631,The development of anxiety and exploration in two species of the African striped mouseRhabdomys,"Genes and the environment interact to produce complex, environmentally relevant behaviors. We tested whether the behavior of two sister species of striped mice originating from different habitats (semi-arid Rhabdomys pumilio and grassland R. bechuanae) are modulated by the early social rearing environment. We cross-fostered pups between the species, and at adulthood tested their exploratory behavior and anxiety in open field and novel object tests, and a plus maze. We expected that the early social rearing environment would alter the phenotype of both species. Regardless of treatment, R. bechuanae were more exploratory and slightly less anxious than R. pumilio. However, fostered individuals of both species showed no changes in exploratory and anxiety responses. Thus there may be a genetic influence on behavioral development, or the early rearing environments of R. pumilio and R. bechuanae are not sufficiently different to alter behavior. (PsycInfo Database Record (c) 2021 APA, all rights reserved) (Source: journal abstract)",2021,Behavior Genetics,"Mackay, Megan K.; Pillay, Neville"
D0034875,1,Scopus,10.12871/0021857201432,Scopus:2-s2.0-84928498649,Trees in the urban environment: Response mechanisms and benefits for the ecosystem should guide plant selection for future plantings,"It is well known that, at present, more than a half of the world population live in the built-up areas (in Europe almost 80%) and the urbanization trend will continue as the population increases and more people will live in large cities. In this scenario arboriculture and urban forestry should have a main role in the effort to manage urbanization and to create livable cities and it is certain that all green areas, starting from the single tree specimens to periurban forests which, in some way, recall the ""concept of nature"", can fulfil a paramount function in improving life quality and in reaching the minimal threshold for human well-being. What is going to happen next - over 10-15 years - will obviously be of the greatest interest to all people concerned with urban environment. This latter poses some constraints to tree growth and survival: drought, poor soil quality and compaction, pollutants, salinity, pathogens, light heterogeneity, and conflicts with human activities often cause premature plant death or limit plant growth, thus reducing the net benefit by urban green areas. It is therefore important to better understand the dynamics leading to tree decline in the urban environment, and to develop strategies and techniques aimed at improving the horticultural tolerance (i.e. the capacity to provide benefits, not only to survive, under stressful conditions) of urban trees. These include nursery pre-conditioning techniques and post-planting management techniques, but a key",2014,Agrochimica,Ferrini F.
D0005327,1,PubMed,10.1007/s11356-009-0217-2,PubMed:19575252,The state of ambient air quality in Pakistan--a review.,"Pakistan, during the last decade, has seen an extensive escalation in population growth, urbanization, and industrialization, together with a great increase in motorization and energy use. As a result, a substantial rise has taken place in the types and number of emission sources of various air pollutants. However, due to the lack of air quality management capabilities, the country is suffering from deterioration of air quality. Evidence from various governmental organizations and international bodies has indicated that air pollution is a significant risk to the environment, quality of life, and health of the population. The Government has taken positive steps toward air quality management in the form of the Pakistan Clean Air Program and has recently established a small number of continuous monitoring stations. However, ambient air quality standards have not yet been established. This paper reviews the data being available on the criteria air pollutants: particulate matter (PM), sulfur dioxide, ozone, carbon monoxide, nitrogen dioxide, and lead. Air pollution studies in Pakistan published in both scientific journals and by the Government have been reviewed and the reported concentrations of PM, SO(2), O(3), CO, NO(2), and Pb collated. A comparison of the levels of these air pollutants with the World Health Organization air quality guidelines was carried out. Particulate matter was the most serious air pollutant in the country. NO(2) has emerged as the second high-risk pollut",2010,Environmental science and pollution research international,Colbeck I; Nasir ZA; Ali Z
D0065633,1,Embase,10.1093/her/cyg087,Embase:L39648119,Exploring children's conceptions of smoking addiction,"Tobacco addiction is a major health problem for both adults and young people-between 20 and 60% of adolescents are dependent on nicotine and more than two-thirds who attempt to quit experience withdrawal symptoms. Yet, anti-smoking efforts targeted at children emphasize primary prevention and ignore addiction education, which is generally considered relevant only to adult smoking and cessation efforts. This study reports children's concepts of smoking and addiction from interviews with 32 Western Australian boys and girls, aged 9-10 years, all non-smokers. Results suggest children's concepts of smoking addiction may influence attitudes toward smoking trials. Children who thought addiction happened immediately were committed to never smoke at all. Others who thought addiction happened after several cigarettes expressed intentions to experiment. These children believed they could avoid addiction by smoking less than the number of cigarettes that caused addiction. Children who defined addiction as 'liking' or 'enjoying the taste of cigarettes' believed they could avoid being 'hooked' as long as they managed to avoid enjoying the experience. Recent findings that children can get 'hooked' within a few days of smoking highlight the importance of addiction strategies targeted at children, particularly in relation to influencing intentions to experiment with smoking.",2004,Health Education Research,"Wang, C.; Henley, N.; Donovan, R.J."
D0022125,2,PubMed; Scopus,10.1029/2025gh001516,PubMed:41457994; Scopus:2-s2.0-105026115581,Evaluation of Remotely Sensed Inundation Data Sets to Estimate Flood-Associated Emergency Department Visits After Hurricane Harvey.,"Floods can increase the risk of adverse health outcomes through multiple pathways, including contamination of food and water. Remotely sensed (RS) inundation extents can help identify regions with expected heightened flood-related health risks, but variations across inundation data sets and their integration into health risk assessments may affect intervention targeting. We examined if the association between census tract (CT) flooding and intestinal infectious disease related emergency department (IID-ED) visits differed by RS-based exposure estimation methods. Two Hurricane Harvey Inundation data sets with different spatiotemporal resolutions were used to estimate CT-level exposure as percent land flooded and percent population flooded, yielding four exposure variables. These were linked to ED visits by residential CT, and the effect estimates for association between IID-ED visits and flooding were derived. A 10% increase in land flooded was associated with a 6% (1%-10%) higher risk of IID-ED visits, while percent population flooded was not significantly associated with IID-ED visits. No statistically significant differences were found in the effect estimates between the inundation data sets or the exposure representation methods. Combining data sets to identify flooded CTs improved model fitness compared to using either alone, indicating a 1.30 (1.16-1.45) times greater risk of IID-ED visits in flooded CTs compared to non-flooded CTs. CTs where the data sets disagreed also",2026,GeoHealth,Ramesh B; Gohlke JM; Zaitchik B; Hyder A; Wing JJ; Barboza-Salerno G; Swarup S
